"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__reply_to_message_id","messages__file","messages__media_type","messages__mime_type","messages__duration_seconds","messages__thumbnail","messages__text__href","messages__forwarded_from","messages__actor","messages__actor_id","messages__action","messages__message_id"
"","","","13769","message","2020-08-09T05:50:34","","Onliner","9598013669","","","","Ермошина прокомментировала о досрочном голосовании в Речице, где избирателей зазывали бесплатными батутами:\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","italic","""Это не подкуп избирателей, — сказала глава ЦИК. — Подкуп — это когда говорят голосовать за конкретного кандидата. А здесь просто привлечение избирателей на участки""","","","","","","","","","","","",""
"","","","","","","","","","","","",".","","","","","","","","","","","","","",""
"","","","13770","message","2020-08-09T05:59:13","","Onliner","9598013669","","","","ЦИК сообщил, что выборы в стране состоялись: на 12:00 явка избирателей составила более 54%.","","","","","","","","","","","","","",""
"","","","13771","message","2020-08-09T06:34:20","","Onliner","9598013669","","","","Читатели сообщают о больших очередях на участках для голосования. Причём не только в Беларуси, но и в других странах.\n\nТут должно было быть фото, но интернет так не считает.","","","","","","","","","","","","","",""
"","","","13772","message","2020-08-09T06:38:31","","Onliner","9598013669","","","","Информация по явке избирателей в регионах на 12:00 (общая по стране — 54,57%):\n\n📍Гомельская область — 66,06%\n\n📍Могилевская — 63,25%\n\n📍Витебская — 56,49%\n\n📍Минская — 53,55%\n\n📍Гродненская — 52,99%\n\n📍Брестская — 50,30%\n\n📍Минск — 43,01%","","","","","","","","","","","","","",""
"","","","13773","message","2020-08-09T06:53:23","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1100","733","Попробуем показать вам фото, возможно, самые удачливые из вас его когда-нибудь увидят. \n\nЭто очередь на участки №104 и №105, которые находятся в 16-й столичной школе.","","","13771","","","","","","","","","","",""
"","","","13774","message","2020-08-09T06:56:14","","Onliner","9598013669","","","","Если на вашем участке очереди, скидывайте фотки (если конечно получится) нашему боту — ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","mention","@newsonliner_bot","","","","","","","","","","","",""
"","","","13775","message","2020-08-09T07:22:02","","Onliner","9598013669","","","","В Минске задержаны журналисты телеканала ""Дождь"".","","","","","","","","","","","","","",""
"","","","13776","message","2020-08-09T07:35:24","","Onliner","9598013669","","","","Друзья, мы видим все сообщения и фотографии, которые вы присылаете нам в ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","mention","@newsonliner_bot","","","","","","","","","","","",""
"","","","","","","","","","","","",". Огромное вам спасибо! К сожалению, из-за всеобщих проблем с интернетом, у нас нет возможности ответить каждому из вас.","","","","","","","","","","","","","",""
"","","","13777","message","2020-08-09T07:37:21","","Onliner","9598013669","","","","Вероника Цепкало покинула страну. Ранее из Беларуси уехал ее муж, незарегистрированный кандидат в президенты Валерий Цепкало.","","","","","","","","","","","","","",""
"","","","13778","message","2020-08-09T07:39:52","2020-08-09T07:40:32","Onliner","9598013669","(File not included. Change data exporting settings to download.)","599","800","","","","13773","","","","","","","","","","",""
"","","","13779","message","2020-08-09T07:39:52","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","599","800","","","","13773","","","","","","","","","","",""
"","","","13780","message","2020-08-09T07:39:52","2020-08-09T07:41:01","Onliner","9598013669","(File not included. Change data exporting settings to download.)","599","800","А вот такие очереди на участок в Лондоне.","","","13773","","","","","","","","","","",""
"","","","13781","message","2020-08-09T07:57:40","2020-08-09T08:28:52","Onliner","9598013669","","","","По данным ЦИК, на 14:00 в Беларуси проголосовали 65,19% избирателей.\n\n📍Брестская область — 63,05\n\n📍Витебская — 67,35\n\n📍Гомельская — 75,83\n\n📍Гродненская — 65,75\n\n📍Минская — 64,21\n\n📍Могилевская — 72,57\n\n📍Минск — 52,03","","","","","","","","","","","","","",""
"","","","13782","message","2020-08-09T08:00:27","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1100","733","В Минск едет техника.","","","","","","","","","","","","","",""
"","","","13783","message","2020-08-09T08:00:27","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1100","733","","","","","","","","","","","","","","",""
"","","","13784","message","2020-08-09T08:00:27","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1100","733","","","","","","","","","","","","","","",""
