"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__forwarded_from","messages__reply_to_message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__text__href"
"","","","9862","message","2020-08-09T05:33:49","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1199","800","Лукашенко — о (не) состоявшихся митингах Тихановской.\n\n«Захотите после выборов выразить свое мнение — хорошо». ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/695991.html?tg","","","","","","","","","","","","","",""
"","","","9863","message","2020-08-09T05:35:16","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1280","960","Мария Колесникова проголосовала на выборах.\n\n«Запугивания уже не работают». ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695994.html?tg","","","","","","","","","","","","","",""
"","","","9865","message","2020-08-09T05:45:15","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","Лукашенко — ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","",""
"","","","","","","","","","","","",": Вы что, хотите пытаться свергнуть власть, сломать что-то, уколоть, оскорбить?\n\n ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/696005.html?tg","","","","","","","","","","","","","",""
"","","","9866","message","2020-08-09T05:50:01","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","Лукашенко спросили, уверен ли в победе сегодня и будет ли баллотироваться еще. \n\nЧто он ответил? ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/696006.html?tg","","","","","","","","","","","","","",""
"","","","9867","message","2020-08-09T06:01:55","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","Глава ЦИК озвучила информацию по данным на 12.00. Явка по стране составила более 54%.\n\n «Выборы в стране состоялись», — заявила Лидия Ермошина.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695965.html?tg","","","","","","","","","","","","","",""
"","","","9868","message","2020-08-09T06:11:54","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1280","600","В ЦИК заявили, что выборы президента признаны состоявшимися.\n\nЯвка превысила 50 процентов. ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/696007.html?vk","","","","","","","","","","","","","",""
