"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__forwarded_from","messages__photo","messages__width","messages__height","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__reply_to_message_id","messages__edited","messages__text__href","messages__title"
"","","","4505","message","2020-08-09T18:14:57","Работаем с Пушкиным!","9712980906","Пацярпелы ў Менску, на скрыжаваньні праспэкту Машэрава і вуліцы Ціміразева.","","","","","","","","","Радыё Свабода — Беларусь","(File not included. Change data exporting settings to download.)","1280","853","","","","","","","","",""
"","","","4506","message","2020-08-09T18:14:57","Работаем с Пушкиным!","9712980906","","","","","","","","","","Радыё Свабода — Беларусь","(File not included. Change data exporting settings to download.)","1280","853","","","","","","","","",""
"","","","4507","message","2020-08-09T18:14:57","Работаем с Пушкиным!","9712980906","","","","","","","","","","Радыё Свабода — Беларусь","(File not included. Change data exporting settings to download.)","1280","853","","","","","","","","",""
"","","","4508","message","2020-08-09T19:08:43","Работаем с Пушкиным!","9712980906","Внимание! Видео содержит шокирующий контент.\n\nАвтозак сбил протестующего в Минске. О состоянии пострадавшего пока ничего неизвестно.","","","","","","","","","TUT.BY новости","","1920","1080","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","35","","","",""
"","","","4509","message","2020-08-10T02:06:42","Работаем с Пушкиным!","9712980906","ЦИК обнародовал предварительные итоги выборов: за Лукашенко - 80,23%.","","","","","","","","","","","","","","","","","","","","",""
"","","","4510","message","2020-08-10T04:49:32","Работаем с Пушкиным!","9712980906","МВД: во время незаконных акций 9 августа пострадали 39 правоохранителей и более 50 гражданских лиц.","","","","","","","","","","","","","","","","","","","","",""
"","","","4511","message","2020-08-10T05:03:22","Работаем с Пушкиным!","9712980906","МВД сообщает, что задержано около 3000 человек\n\n«Из них около тысячи в Минске и более двух - в других регионах республики. В результате столкновений пострадали более 50 граждан, а также 39 сотрудников милиции, некоторые из них в настоящее время госпитализированы».","","","","","","","","","TUT.BY новости","","","","","","","","","","","",""
"","","","4512","message","2020-08-10T05:42:33","Работаем с Пушкиным!","9712980906","Минздрав: во время ночных несанкционированных уличных акций, в скорую медицинскую помощь обратились пострадавшие. Всем, кто нуждался (39 представителей органов правопорядка и более 50 - гражданских) - оказана медицинская помощь в полном объеме. \n\n Погибших нет.","","","","","","","","","","","","","","","","","","","","",""
"","","","4513","message","2020-08-10T06:23:26","Работаем с Пушкиным!","9712980906","""Белтелеком"" рассчитывает восстановить доступ к ресурсам в интернете до конца дня 10 августа.","","","","","","","","","","","","","","","","","","","","",""
"","","","4514","message","2020-08-10T06:33:15","Работаем с Пушкиным!","9712980906","Лукашенко: интернет в Беларуси отключают из-за границы, это не инициатива власти. \n\n😶","","","","","","","","","","","","","","","","","","","","",""
"","","","4515","message","2020-08-10T06:41:55","Работаем с Пушкиным!","9712980906","С этим приложением на Android работает интернет (но медленно). \n\nНа iPhone увы, установку нельзя запостить.","","","","","","","","","","","","","(File not included. Change data exporting settings to download.)","","","application/octet-stream","","","","",""
"","","","4516","message","2020-08-10T06:45:03","Работаем с Пушкиным!","9712980906","Можете попробовать тут скачать \n\n","","","","","","","","","","","","","","","","","","4515","","",""
"","","","","","","","","","link","https://apkpure.com/psiphon-pro-the-internet-freedom-vpn/com.psiphon3.subscription","","","","","","","","","","","","","","","","","","",""
"","","","4517","message","2020-08-10T08:59:31","Работаем с Пушкиным!","9712980906","","bold","ЦИК обновил предварительные данные о результатах голосования на выборах Президента","","","","","","","","","","","","","","","","","","",""
