"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__text__href","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__title","messages__reply_to_message_id"
"","","","","","","","","","","","","). Воздействие продолжилось и 9.08.2020. Были совершены атаки в 2:52 и 6:17, их продолжительность составила около 1 часа для каждой"".","","","","","","","","","","","","","","","","","","","","",""
"","","","894","message","2020-08-09T05:23:31","","БАЖ / BAJ","9691800322","","","","❌ У адрозненне ад папярэдніх выбараў сёння не ўсіх журналістаў пусцілі на выбарчы ўчастак, дзе галасуе Аляксандр Лукашэнка. \n\n⛔️ ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Забаранілі весці жывыя стрымы. \nПаводле кіраўніка прэс-службы прэзідэнта Сяргея Пялюшкевіча, рабіць фотаздымкі можна толькі прафесійным фатографам, а здымаць відэа — відэааператарам. \n\nУ","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," прыватнасці, журналісту “Еўрарадыё” Змітру Лукашуку забаранілі здымаць відэа на той падставе, што ён прадстаўляе радыё: значыць рабіце запіс для радыё.\n\nНягледзячы на папярэднюю акрэдытацыю, многія журналісты, якія сёння прыйшлі асвятляць, як галасуе кіраўнік краіны, не змаглі патрапіць на выбарчы ўчастак. \nПерад пачаткам кіраўнік прэс-службы прэзідэнта РБ Сяргей Пялюшкевіч абвесціў, што ў памяшканне пройдуць толькі пералічаныя ім журналісты, астатнія мусяць чакаць на вуліцы.","","","","","","","","","","","","","","","","","","","","",""
"","","","895","message","2020-08-09T06:17:33","","БАЖ / BAJ","9691800322","","","","❌ Коллеги открыли сбор средств на оплату услуг адвоката, возможный штраф и передачи для задержанной вчера переводчицы Анны Шамко. Номер платёжной карты ёё мужа ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bank_card","4916 9850 0147 5158","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","",", Kanstantsin Shamko.\n\n\nАнну задержали, когда она помогала с переводом польскому журналисту. Сейчас она в ЦИП на Окрестина. В понедельник ожидается суд.","","","","","","","","","","","","","","","","","","","","",""
"","","","896","message","2020-08-09T06:28:02","2020-08-09T06:56:13","БАЖ / BAJ","9691800322","","","","","bold","❗️ К двум гомельским журналистам в квартиру с ночи пытается попасть милиция\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","С двух часов ночи в квартиру матери журналистки Марии Булавинской пытается попасть милиция. Она находится в квартире со своим мужем, тоже журналистом Сергеем Ляпиным.\n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","underline","Как сообщила БелаПАН Булавинская, сотрудники милиции ночью начали стучать в дверь квартиры, затем отключили электричество. Причин попасть в жилое помещение милиционеры не называют.\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Они ходили и опрашивали соседей. Сейчас они заявили сестре Булавинской, что милиция ищет украденный велосипед. С утра милиционеры начали стучать в дверь.","","","","","","","","","","","","","","","","","","","","",""
"","","","897","message","2020-08-09T06:45:07","2020-08-09T06:45:47","БАЖ / BAJ","9691800322","(File not included. Change data exporting settings to download.)","720","480","","bold","Лукашенко — TUT.BY: Вы что, хотите пытаться свергнуть власть, сломать что-то, уколоть, оскорбить?\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","9 августа 2020 в 12:39\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","\n\n\nАлександр Лукашенко проголосовал сегодня на участке в Университете физкультуры, а потом стал отвечать на вопросы журналистов. Свой вопрос президенту задала и корреспондент ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," Ульяна Бобоед. Рассказываем, какой диалог произошел на пресс-подходе. \n\nВо время ответа на предыдущий вопрос президент, комментируя безопасность во время выборов, напомнил, что «жизнь-то одна, и завтра нам придется вместе жить на этом клочке земли».\n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","— Выборы завтра закончатся, а нам жить вместе. Этими весной-летом мы увидели очень серьезные протестные настроения в стране, очень много людей заявили, что они хотят участвовать в общественно-политической жизни, влиять на эту жизнь, хотят перемен. Что власть может предложить этим людям, кроме увольнений, суток, арестов? — спросила Ульяна Бобоед.\n\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","— М-м-м, вас что, уволили с работы?\n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","— Александр Григорьевич, ну есть же такие примеры.","","","","","","","","","","","","","","","","","","",""
"","","","898","message","2020-08-09T06:46:27","","БАЖ / BAJ","9691800322","","","","Продолжение:\n\n— В любой стране людей увольняют. Вы скажите, за что кого уволили — и я к вечеру разберусь. Если это незаконно. Будем считать, что вы меня упрекнули, что власть где-то кого-то уволила незаконно. Так прежде чем упрекать, вы там на тутбае разберитесь — вы же беседуете сейчас с осведомленным человеком. Что-что, а вашу позицию, тутбая, я знаю. И если вы просто высказываете свою позицию или позицию кого-то и там видно, что это Петров, Сидоров, Иванов, я это приветствую. Я готов с вами лично вести диалог. Если вы тенденциозно начинаете себя вести, я тоже это вижу — и отношение соответствующее. А если вы провоцируете — получите в ответ то же самое. \n\n","","","","","","","","","","","","","","","","","","","","",""
