"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__text__href","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__reply_to_message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__sticker_emoji"
"","","","3730","message","2020-09-01T08:37:52","","отчислено","9910498247","","848","464","Момент, когда студенты окружили милицию.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","12","","","","","","","",""
"","","","3731","message","2020-09-01T08:37:52","","отчислено","9910498247","","848","464","","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","20","","","","","","","",""
"","","","3733","message","2020-09-01T08:48:07","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","1276","956","ОМОН начал перекрывать подходы к площади Независимости.","","","","","","","","","","","","","","","","",""
"","","","3734","message","2020-09-01T08:48:07","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","960","1280","","","","","","","","","","","","","","","","","",""
"","","","3735","message","2020-09-01T08:48:07","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","1276","956","","","","","","","","","","","","","","","","","",""
"","","","3736","message","2020-09-01T08:50:16","","отчислено","9910498247","","720","1280","Студенты столкнулись с новым оцеплением около Городского Вала. И снова резко поменяли направление перебежав на другую сторону и оставив оцепление за спиной","","","","Onliner","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","17","","","","","","","",""
"","","","3737","message","2020-09-01T08:54:18","2020-09-01T08:54:24","отчислено","9910498247","","720","1280","Только что из здания Министерства образования вышел министр Игорь Карпенко. Журналист ","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","17","","","","","","","",""
"","","","","","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," подошел к нему с вопросом, может он как-то прокомментировать то, что сегодня происходит в студенческой среде. Министр просто прошел мимо. В это время на площади Независисмости появился ОМОН, бойцы бегут в сторону Октябрьской.","","","","","","","","","","","","","","","","",""
"","","","3738","message","2020-09-01T08:59:05","2020-09-01T09:00:02","отчислено","9910498247","","","","Почти всех задержанных на Площади Победы студентов выпустили из Советского РУВД г. Минска.","","","","","","","","","","","","","","","","",""
"","","","3739","message","2020-09-01T09:07:55","","отчислено","9910498247","","464","848","Силовики перекрывают проспект. Но студенты просто проходят через них. ","","","","#МотолькоПомоги этому городишко от 3% избавиться","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","54","","","","","","","",""
"","","","","","","","","","","","","","mention","@motolkohelp","","","","","","","","","","","","","","",""
"","","","3740","message","2020-09-01T09:17:00","2020-09-01T09:17:35","отчислено","9910498247","(File not included. Change data exporting settings to download.)","1280","853","Начались задержания. Только что несколько человек задержали на перекрестке Кирова и Свердлова.\n\nЖурналисты пишут, что людей бьют.","","","","","","","","","","","","","","","","",""
"","","","3741","message","2020-09-01T09:18:27","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","960","1167","Площадь Независимости окружена со всех сторон, но студенты постоянно меняют маршрут и прорывают оцепления.","","","","","","","","","","","","","","","","",""
"","","","3742","message","2020-09-01T09:18:27","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","961","1280","","","","","","","","","","","","","","","","","",""
"","","","3743","message","2020-09-01T09:18:27","","отчислено","9910498247","","1280","720","","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","54","","","","","","","",""
"","","","3744","message","2020-09-01T09:22:29","2020-09-01T09:29:39","отчислено","9910498247","","854","480","Видео одного из задержаний. Люди кричат: ""Смелые против детей""!\n\nНам пишут, что задержания продолжаются. ""Взяли"" не меньше 10 человек.\n\nВидео: Медиазона.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","13","","","","","","","",""
"","","","3745","message","2020-09-01T09:29:27","","отчислено","9910498247","","1280","720","Около Лицея БГУ стоит цепь солидарности выпускников и работников. Среди них — бывший директор лицея Макар Шнип.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/quicktime","18","","","","","","","",""
"","","","3746","message","2020-09-01T09:38:16","","отчислено","9910498247","","720","1280","Задержания продолжились возле стадиона «Динамо».","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","23","","","","","","","",""
"","","","3747","message","2020-09-01T09:38:16","","отчислено","9910498247","","848","464","","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","16","","","","","","","",""
"","","","3748","message","2020-09-01T11:05:38","2020-09-01T11:57:36","отчислено","9910498247","(File not included. Change data exporting settings to download.)","1280","854","Студенты БГМУ становятся в цепь солидарности на Петровщине.","","","","","","","","","","","","","","","","",""
"","","","3749","message","2020-09-01T11:05:38","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","1280","960","","","","","","","","","","","","","","","","","",""
"","","","3750","message","2020-09-01T11:05:38","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","1280","960","","","","","","","","","","","","","","","","","",""
"","","","3751","message","2020-09-01T12:05:55","","отчислено","9910498247","","720","1280","Возле меда все больше людей.","","","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","11","3748","","","","","","",""
"","","","3752","message","2020-09-01T13:37:49","2020-09-01T13:45:23","отчислено","9910498247","(File not included. Change data exporting settings to download.)","912","1280","БНТУ такой смешной, запланирована встреча со стачкома, но мы встретились с тем, не знаем с кем, поэтому завтра встретимся с ним ещё раз, а стачкомы пусть подождут)","","","","","","","","","","","","","","","","",""
"","","","3753","message","2020-09-01T15:02:13","2020-09-01T15:52:02","отчислено","9910498247","","","","Ни на что не намекаем, но...\n\n• Как выйти из БРСМ?\n\nВсе просто, пишешь заявление на выход из БРСМ в первичную организацию БРСМ и выходишь. Или просто не платишь членские взносы, тогда тебя должны исключить из БРСМ за грубое нарушение устава.\n\n• Что делать, если требуют деньги за выход из БРСМ?\n\nНикаких денег не платить: в уставе БРСМ ничего не говорится о том, что выход платный. А согласно Закону «Об общественных объединениях» и Конституции РБ, каждый гражданин имеет право самостоятельно выбирать, в каких объединениях ему быть или не быть. Попытка взять за это деньги — уголовное правонарушение по статье 209 УК РБ «Мошенничество».\n\n• Могут ли отказать в выходе из БРСМ?\n\nВ законах Республики Беларусь и уставе БРСМ нет никаких пунктов, по которым может быть отказано в выходе из БРСМ.\n\n• Что касается профкома?\n\nВсе то же самое. Взносы и членство в общественной организации никак не относится к получению  диплома.\n\nТак же как в случае с БРСМ, если вы не будете платить взносы в профком, то вас исключают из списка членов. Никаких денег платить за это вы не обязаны.","","","","","","","","","","","","","","","","",""
"","","","3754","message","2020-09-01T15:24:51","","отчислено","9910498247","","","","Кажется завтра будут большие очереди возле кабинетов БРСМ, присылайте нам свои фото и видео оттуда - ","","","","","","","","","","3753","","","","","","",""
"","","","","","","","","","","","","","mention","@studentybot","","","","","","","","","","","","","","",""
"","","","3755","message","2020-09-01T15:29:20","","отчислено","9910498247","(File not included. Change data exporting settings to download.)","1242","1099","Официальная группа студенческого совета БрГТУ теперь выглядит так.","","","","","","","","","","","","","","","","",""
"","","","3756","message","2020-09-01T15:42:42","","отчислено","9910498247","","","","","bold","Силезский университет в Катовицах готов принять на обучение белорусов!","","","","","","","","","","","","","","",""
